clients,dataset,exact_shapley_fully_covered,feasible,game_id,grand_worth,interaction_surplus,max_player_width,mean_player_width,nonempty_coordinate_intervals,nonnegative_pair_mass,nonnegative_singletons,nonnegative_triple_mass,normalized_sum_width,pair_mass,phase,slice_lower_bound,slice_upper_bound,source,sum_player_width,tolerance,triple_mass
8,fashion_mnist,,False,3,0.18663854367865454,-0.020176346026060415,,,False,False,True,False,,-0.019565945988366612,development,False,False,confirmatory-large-update-20260903,,1e-09,-0.0006104000376938035
8,fashion_mnist,,False,6,0.03282866609862124,0.014319669534408566,,,False,True,False,False,,0.015348713945329925,development,False,False,confirmatory-large-update-20260903,,1e-09,-0.0010290444109213592
8,fashion_mnist,,False,9,0.04539597962313435,0.023069053437404508,,,False,True,False,False,,0.024953492581178516,development,False,False,confirmatory-large-update-20260903,,1e-09,-0.0018844391437740082
8,fashion_mnist,,False,12,0.1501269154213152,-0.003515781036576543,,,False,False,True,True,,-0.0047795492126945505,development,False,False,confirmatory-large-update-20260903,,1e-09,0.0012637681761180075
8,fashion_mnist,,False,15,0.20486889673252692,-0.00434484978982333,,,False,False,True,True,,-0.007372115885693503,development,False,False,confirmatory-large-update-20260903,,1e-09,0.0030272660958701736
8,fashion_mnist,,False,18,0.040482270859445,0.01517441247556861,,,False,True,True,True,,0.014426237450067436,development,True,True,confirmatory-large-update-20260903,,1e-09,0.0007481750255011743
8,fashion_mnist,,False,21,0.06216951596893061,0.023828216536666225,,,False,True,True,True,,0.021696361859591784,development,True,True,confirmatory-large-update-20260903,,1e-09,0.0021318546770744407
8,fashion_mnist,,False,24,0.13429504458652194,-0.002428555584644526,,,False,False,True,False,,-0.001542710900517802,development,False,False,confirmatory-large-update-20260903,,1e-09,-0.0008858446841267242
8,fashion_mnist,,False,27,0.1810881216721709,-0.0027859804339705196,,,False,False,True,False,,-0.0010128925964077717,development,False,False,confirmatory-large-update-20260903,,1e-09,-0.001773087837562748
8,fashion_mnist,,False,30,0.035113423785694264,0.008808219451939214,,,False,True,True,False,,0.009369888484064282,development,False,False,confirmatory-large-update-20260903,,1e-09,-0.0005616690321250672
8,fashion_mnist,,False,33,0.05092307770430728,0.012295244631305068,,,False,True,True,False,,0.012789548416250969,development,False,False,confirmatory-large-update-20260903,,1e-09,-0.0004943037849459014
8,fashion_mnist,,False,36,0.12025164251112444,-0.00820847284035417,,,False,False,True,False,,-0.00651566317789079,development,False,False,confirmatory-large-update-20260903,,1e-09,-0.0016928096624633793
8,fashion_mnist,,False,39,0.15646015334113939,-0.014690130842193727,,,False,False,True,False,,-0.010749448750445478,development,False,False,confirmatory-large-update-20260903,,1e-09,-0.003940682091748249
8,fashion_mnist,,False,42,0.030310752109166346,0.015363523848452083,,,False,True,False,False,,0.01709024095613223,development,False,False,confirmatory-large-update-20260903,,1e-09,-0.0017267171076801452
8,fashion_mnist,,False,45,0.042617915087526645,0.0235149125100481,,,False,True,False,False,,0.027011859965240984,development,False,False,confirmatory-large-update-20260903,,1e-09,-0.0034969474551928836
8,fashion_mnist,,False,48,0.1137633514335642,-0.00475659458651867,,,False,False,True,False,,-0.004437466087480746,development,False,False,confirmatory-large-update-20260903,,1e-09,-0.00031912849903792395
8,fashion_mnist,,False,51,0.14893762442498623,-0.0072085133763653275,,,False,False,True,False,,-0.006192593700510923,development,False,False,confirmatory-large-update-20260903,,1e-09,-0.0010159196758544042
8,fashion_mnist,,False,54,0.02938658963375075,0.013498614740533058,,,False,True,False,False,,0.015100290909019251,development,False,False,confirmatory-large-update-20260903,,1e-09,-0.0016016761684861935
8,fashion_mnist,,False,57,0.041467515414107634,0.018098303718830797,,,False,True,True,False,,0.02188420948532284,development,False,False,confirmatory-large-update-20260903,,1e-09,-0.0037859057664920426
8,fashion_mnist,,False,60,0.16724695324163127,-0.0010093419179858787,,,False,True,True,False,,0.004167490911863997,development,False,False,confirmatory-large-update-20260903,,1e-09,-0.005176832829849876
8,fashion_mnist,,False,63,0.24157408889956064,0.0017319654731222378,,,False,True,True,False,,0.025931827098975152,development,False,False,confirmatory-large-update-20260903,,1e-09,-0.024199861625852914
8,fashion_mnist,,False,66,0.04404348416363146,0.0035420292556485045,,,False,True,True,True,,0.0032151272585034807,development,True,True,confirmatory-large-update-20260903,,1e-09,0.00032690199714502377
8,fashion_mnist,,False,69,0.07064625659721013,0.0018645297657948756,,,False,True,True,True,,0.0009978725679810063,development,False,False,confirmatory-large-update-20260903,,1e-09,0.0008666571978138693
