profile,method,player,subject,exact_shapley,midpoint,radius,efficient_lower,efficient_upper,oracle_bernstein_radius,radius_to_oracle_ratio
7,oracle_bernstein,1,4,0.001330986119967847,0.001330984632321952,1.4952280902905224e-09,0.0013309831370938619,0.0013309861275500423,1.4952280902905224e-09,1.0
7,oracle_bernstein,2,5,-5.580529032097471e-05,-5.580468842980579e-05,6.070042624686899e-10,-5.580529543406826e-05,-5.5804081425543326e-05,6.070042624686899e-10,1.0
7,oracle_bernstein,3,6,7.45141593728677e-05,7.45145896111632e-05,4.410117464399479e-10,7.451414859941676e-05,7.451503062290963e-05,4.410117464399479e-10,1.0
7,oracle_bernstein,4,7,0.0005430471096260726,0.0005430473319758544,2.313273654703709e-10,0.000543047100648489,0.0005430475633032199,2.313273654703709e-10,1.0
7,oracle_bernstein,5,8,0.00026894484131986807,0.00026894469443383695,1.5591013745218893e-10,0.0002689445385236995,0.0002689448503439744,1.5591013745218893e-10,1.0
7,oracle_bernstein,6,9,0.00046879136228376476,0.00046879122909393445,1.4231053452691137e-10,0.00046879108678339994,0.00046879137140446895,1.4231053452691137e-10,1.0
7,oracle_bernstein,7,10,0.001084269102159645,0.0010842684068832487,7.044362878793348e-10,0.0010842677024469607,0.0010842691113195366,7.044362878793348e-10,1.0
8,authorized_public_clip,0,2,0.0009353215260756083,0.0009353222251791138,4.959799346384104e-06,0.0009303624258327297,0.0009402820245254979,7.026715143668249e-10,7058.48927269147
8,authorized_public_clip,1,3,-6.675723038872276e-05,-6.675744203654688e-05,4.944052198201791e-06,-7.170149423474866e-05,-6.181338983834509e-05,2.1448187750286508e-10,23051.14192286827
8,authorized_public_clip,2,4,0.00015710008297364482,0.00015709998593838037,4.939121128936687e-06,0.00015216086480944368,0.00016203910706731706,1.0180230812405728e-10,48516.789255090625
8,authorized_public_clip,3,6,0.0011131574219986474,0.0011131573137603823,4.621734022408783e-06,0.0011085355797379735,0.0011177790477827911,1.112125584807801e-10,41557.66296130591
8,authorized_public_clip,4,7,0.0007714349456147224,0.0007714347966230051,4.83243638220802e-06,0.0007666023602407971,0.0007762672330052131,1.5191222434051372e-10,31810.714398967888
8,authorized_public_clip,5,8,0.0004365857536464922,0.0004365858940162948,4.738914140723054e-06,0.00043184697987557174,0.0004413248081570178,1.4331154861334756e-10,33067.21744741294
8,authorized_public_clip,6,9,0.0005484134337571696,0.0005484131339372755,4.842501366319486e-06,0.0005435706325709561,0.000553255635303595,3.0201459931443984e-10,16033.997619028207
8,authorized_public_clip,7,10,0.00020869930311274022,0.00020869934472744767,4.774690540216168e-06,0.0002039246541872315,0.00021347403526766383,4.613424537198576e-11,103495.58124810075
8,oracle_bernstein,0,2,0.0009353215260756083,0.0009353222251791138,7.026715143668249e-10,0.0009353215225075994,0.0009353229278506282,7.026715143668249e-10,1.0
8,oracle_bernstein,1,3,-6.675723038872276e-05,-6.675744203654688e-05,2.1448187750286508e-10,-6.675765651842438e-05,-6.675722755466937e-05,2.1448187750286508e-10,1.0
