seed,epsilon,method,player,subject,exact_shapley,midpoint,radius,efficient_lower,efficient_upper,oracle_bernstein_radius,radius_to_oracle_ratio
8502,0.5,authorized_public_clip,4,30,0.00038458014987353056,0.00038457728611357433,5.226418887372918e-06,0.0003793508672262014,0.00038980370500094725,2.864908477917456e-09,1824.288254810876
8502,0.5,authorized_public_clip,5,22,0.00032577142065181143,0.0003257728084913869,4.612931264011464e-06,0.00032115987722737544,0.00033038573975539837,1.3939109874349382e-09,3309.3442160895343
8502,0.5,authorized_public_clip,6,29,0.00040830168786375236,0.00040830194475988124,4.849223643658612e-06,0.0004034527211162226,0.00041315116840353987,2.569532557690126e-10,18872.007008223347
8502,0.5,authorized_public_clip,7,6,0.00036584324104235505,0.0003658449221835003,4.654788751359081e-06,0.0003611901334321412,0.00037049971093485937,1.6908400983635023e-09,2752.9443830107107
8502,0.5,oracle_bernstein,0,3,0.0004904280011816944,0.0004904294069038584,1.4077634436540742e-09,0.0004904279991404147,0.0004904308146673021,1.4077634436540742e-09,1.0
8502,0.5,oracle_bernstein,1,19,0.0002904345972449813,0.0002904356301503541,1.042996097696083e-09,0.0002904345871542564,0.0002904366731464518,1.042996097696083e-09,1.0
8502,0.5,oracle_bernstein,2,1,0.00034485664208523073,0.00034485604664791225,5.971469438036676e-10,0.00034485544950096843,0.00034485664379485607,5.971469438036676e-10,1.0
8502,0.5,oracle_bernstein,3,11,0.0003461391284252932,0.00034613739316241565,1.74378065770726e-09,0.00034613564938175797,0.00034613913694307334,1.74378065770726e-09,1.0
8502,0.5,oracle_bernstein,4,30,0.00038458014987353056,0.00038457728611357433,2.864908477917456e-09,0.0003845744212050964,0.00038458015102205227,2.864908477917456e-09,1.0
8502,0.5,oracle_bernstein,5,22,0.00032577142065181143,0.0003257728084913869,1.3939109874349382e-09,0.00032577141458039945,0.00032577420240237435,1.3939109874349382e-09,1.0
8502,0.5,oracle_bernstein,6,29,0.00040830168786375236,0.00040830194475988124,2.569532557690126e-10,0.0004083016878066255,0.000408302201713137,2.569532557690126e-10,1.0
8502,0.5,oracle_bernstein,7,6,0.00036584324104235505,0.0003658449221835003,1.6908400983635023e-09,0.00036584323134340193,0.00036584661302359865,1.6908400983635023e-09,1.0
8502,1.0,authorized_public_clip,0,3,0.0009787917890319033,0.000978802994849537,3.8551999004762504e-05,0.0009402509958447744,0.0010173549938542995,1.1239243721690822e-08,3430.1239442259175
8502,1.0,authorized_public_clip,1,19,0.0005718145746510714,0.0005718228392809221,4.0059684291537236e-05,0.0005317631549893849,0.0006118825235724594,8.42565917116281e-09,4754.486679053345
8502,1.0,authorized_public_clip,2,1,0.0006799790492999023,0.0006799743888102339,3.903416806886123e-05,0.0006409402207413727,0.0007190085568790951,4.687128149368328e-09,8327.949828749992
8502,1.0,authorized_public_clip,3,11,0.0006909750363560788,0.0006909611927150561,3.648120232919848e-05,0.0006544799903858575,0.0007274423950442546,1.3980448059284513e-08,2609.4444308579264
8502,1.0,authorized_public_clip,4,30,0.0007701132834546851,0.0007700903379097568,4.1811351098983345e-05,0.0007282789868107735,0.0008119016890087401,2.2965487142408533e-08,1820.6167733221587
8502,1.0,authorized_public_clip,5,22,0.0006424537479209415,0.0006424648979723169,3.690345011209171e-05,0.0006055614478602252,0.0006793683480844086,1.1247198044076769e-08,3281.123882363445
8502,1.0,authorized_public_clip,6,29,0.0008083000458020896,0.0008083022041519561,3.8793789149268894e-05,0.0007695084150026872,0.000847095993301225,2.1592324047858e-09,17966.47228120741
8502,1.0,authorized_public_clip,7,6,0.0007250172685981335,0.0007250307042195314,3.723831001087265e-05,0.0006877923942086588,0.0007622690142304041,1.3590803631450556e-08,2739.963803516318
8502,1.0,oracle_bernstein,0,3,0.0009787917890319033,0.000978802994849537,1.1239243721690822e-08,0.0009787917556058152,0.0009788142340932586,1.1239243721690822e-08,1.0
8502,1.0,oracle_bernstein,1,19,0.0005718145746510714,0.0005718228392809221,8.42565917116281e-09,0.000571814413621751,0.0005718312649400933,8.42565917116281e-09,1.0
8502,1.0,oracle_bernstein,2,1,0.0006799790492999023,0.0006799743888102339,4.687128149368328e-09,0.0006799697016820845,0.0006799790759383832,4.687128149368328e-09,1.0
8502,1.0,oracle_bernstein,3,11,0.0006909750363560788,0.0006909611927150561,1.3980448059284513e-08,0.0006909472122669968,0.0006909751731631154,1.3980448059284513e-08,1.0
8502,1.0,oracle_bernstein,4,30,0.0007701132834546851,0.0007700903379097568,2.2965487142408533e-08,0.0007700673724226144,0.0007701133033968992,2.2965487142408533e-08,1.0
8502,1.0,oracle_bernstein,5,22,0.0006424537479209415,0.0006424648979723169,1.1247198044076769e-08,0.0006424536507742728,0.000642476145170361,1.1247198044076769e-08,1.0
8502,1.0,oracle_bernstein,6,29,0.0008083000458020896,0.0008083022041519561,2.1592324047858e-09,0.0008083000449195513,0.0008083043633843608,2.1592324047858e-09,1.0
8502,1.0,oracle_bernstein,7,6,0.0007250172685981335,0.0007250307042195314,1.3590803631450556e-08,0.0007250171134158999,0.0007250442950231629,1.3590803631450556e-08,1.0
8503,0.25,authorized_public_clip,0,16,0.000194163610927231,0.00019416365457103346,6.252796858988146e-07,0.00019353837488513464,0.00019478893425693228,4.364509574482883e-11,14326.459255686228
8503,0.25,authorized_public_clip,1,21,0.0002589021373824424,0.0002589021841272743,6.734362327276407e-07,0.00025822874789454664,0.00025957562036000193,4.6897505197698475e-11,14359.745361480125
8503,0.25,authorized_public_clip,2,25,9.00287642508888e-05,9.002874427938012e-05,6.7453568948263e-07,8.93542085898975e-05,9.070327996886275e-05,2.0185243165743967e-11,33417.26844427483
8503,0.25,authorized_public_clip,3,8,0.00013159329407537204,0.0001315933259936064,5.150392982612879e-07,0.0001310782866953451,0.0001321083652918677,3.206300120213036e-11,16063.352741510273
8503,0.25,authorized_public_clip,4,7,0.00016630719423075743,0.00016630724667521246,5.520185009741545e-07,0.0001657552281742383,0.00016685926517618661,5.247422946525895e-11,10519.80194086744
8503,0.25,authorized_public_clip,5,29,0.00018629172019796514,0.00018629174997331077,5.984487827633176e-07,0.00018569330119054745,0.0001868901987560741,2.984138941870419e-11,20054.320338992584
8503,0.25,authorized_public_clip,6,3,0.0002339336220632897,0.00023393368462581998,5.947010210654029e-07,0.0002333389836047546,0.00023452838564688537,6.265293919219315e-11,9491.989182520354
8503,0.25,authorized_public_clip,7,22,0.00014023549573824812,0.00014023549244529532,5.691558391881373e-07,0.00013966633660610718,0.00014080464828448346,3.3293746129579117e-12,170949.77446304337
