seed,epsilon,method,clients,grand_worth,shapley_l1,midpoint_l1_error,midpoint_relative_l1_error,median_radius_to_oracle_ratio,coordinate_coverage_count,joint_coverage,signs_certified,strict_pairs,pairs_certified,top_client_certified,efficient_l1_width,efficient_relative_l1_width
8518,1.0,authorized_public_clip,8,0.0059486429358174275,0.0059486429358174275,2.3432635182273412e-07,3.939156448144467e-05,1268.583834707977,8,True,8,28,21,True,0.00061740410356625,0.10378906754429712
8518,1.0,oracle_bernstein,8,0.0059486429358174275,0.0059486429358174275,2.3432635182273412e-07,3.939156448144467e-05,1.0,8,True,8,28,28,True,1.3593582010571793e-08,2.2851568256750117e-06
8519,0.25,authorized_public_clip,8,0.00146553607750588,0.00146553607750588,6.289170284003946e-10,4.291378681318975e-07,7773.876897726153,8,True,8,28,27,True,9.635924866083429e-06,0.006575017160892616
8519,0.25,oracle_bernstein,8,0.00146553607750588,0.00146553607750588,6.289170284003946e-10,4.291378681318975e-07,1.0,8,True,8,28,28,True,1.220837268463889e-09,8.330311934104942e-07
8519,0.5,authorized_public_clip,8,0.0029250291414666396,0.0029250291414666387,5.030080357798375e-09,1.7196684589462156e-06,7734.93783043594,8,True,8,28,27,True,7.708739892866743e-05,0.026354403725243107
8519,0.5,oracle_bernstein,8,0.0029250291414666396,0.0029250291414666387,5.030080357798375e-09,1.7196684589462156e-06,1.0,8,True,8,28,28,True,9.810669966030857e-09,3.354041784950439e-06
8519,1.0,authorized_public_clip,8,0.005825944008206463,0.005825944008206462,4.021975222101093e-08,6.903559690490257e-06,7659.1670381993445,8,True,8,28,25,False,0.00061669919142934,0.10585395095709804
8519,1.0,oracle_bernstein,8,0.005825944008206463,0.005825944008206462,4.021975222101093e-08,6.903559690490257e-06,1.0,8,True,8,28,28,True,7.919171783577709e-08,1.359294179803894e-05
8520,0.25,authorized_public_clip,8,0.0016712848774903533,0.0016712848774903537,7.585324599880018e-10,4.538618578737891e-07,20444.371409354695,8,True,8,28,28,True,9.632103825453584e-06,0.0057632926315674664
8520,0.25,oracle_bernstein,8,0.0016712848774903533,0.0016712848774903537,7.585324599880018e-10,4.538618578737891e-07,1.0,8,True,8,28,28,True,1.2256318618971036e-10,7.333470658839433e-08
8520,0.5,authorized_public_clip,8,0.0033255706141718244,0.0033255706141718244,6.125282303289306e-09,1.8418740757885927e-06,18976.535325470846,8,True,8,28,27,True,7.70568306036291e-05,0.0231710101875698
8520,0.5,oracle_bernstein,8,0.0033255706141718244,0.0033255706141718244,6.125282303289306e-09,1.8418740757885927e-06,1.0,8,True,8,28,28,True,1.1129297163752286e-09,3.346582722669764e-07
8520,1.0,authorized_public_clip,8,0.00658316415474014,0.00658316415474014,4.9917368413233965e-08,7.582579931522578e-06,16574.70778504398,8,True,8,28,19,False,0.0006164546448290326,0.09364108660293996
8520,1.0,oracle_bernstein,8,0.00658316415474014,0.00658316415474014,4.9917368413233965e-08,7.582579931522578e-06,1.0,8,True,8,28,28,True,1.1013807606923866e-08,1.6730264271657967e-06
